iter	Passed	Remaining
400	21214	10527
401	21262	10472
402	21304	10414
403	21350	10358
404	21394	10301
405	21443	10246
406	21485	10188
407	21541	10137
408	21588	10081
409	21637	10027
410	21676	9968
411	21724	9913
412	21767	9855
413	21811	9799
414	21856	9743
415	21906	9689
416	21953	9634
417	22005	9581
418	22048	9524
419	22099	9471
420	22144	9415
421	22189	9359
422	22235	9304
423	22279	9248
424	22320	9190
425	22367	9135
426	22411	9080
427	22451	9022
428	22500	8968
429	22547	8914
430	22597	8860
431	22640	8804
432	22679	8747
433	22724	8691
434	22773	8638
435	22819	8583
436	22864	8528
437	22907	8472
438	22953	8418
439	22991	8360
440	23041	8307
441	23080	8250
442	23122	8194
443	23170	8141
444	23216	8086
445	23260	8031
446	23303	7976
447	23348	7921
448	23390	7866
449	23435	7811
450	23488	7760
451	23531	7705
452	23568	7648
453	23618	7595
454	23668	7542
455	23715	7489
456	23766	7436
457	23858	7397
458	23904	7343
459	23951	7289
460	23997	7235
461	24046	7182
462	24089	7127
463	24130	7072
464	24177	7019
465	24223	6965
466	24274	6913
467	24321	6860
468	24375	6808
469	24425	6755
470	24469	6701
471	24519	6649
472	24570	6597
473	24622	6545
474	24667	6491
475	24717	6438
476	24764	6385
477	24816	6333
478	24860	6280
479	24901	6225
480	24943	6171
481	24987	6117
482	25037	6064
483	25079	6010
484	25120	5956
485	25169	5903
486	25217	5851
487	25260	5797
488	25299	5742
489	25344	5689
490	25393	5637
491	25437	5583
492	25480	5530
493	25527	5477
494	25566	5423
495	25608	5369
496	25656	5317
497	25699	5263
498	25751	5212
499	25791	5158
500	25830	5104
501	25872	5050
502	25916	4997
503	25959	4944
504	26011	4893
505	26065	4842
506	26112	4789
507	26166	4738
508	26237	4690
509	26290	4639
510	26347	4588
511	26405	4538
512	26467	4488
513	26530	4438
514	26601	4390
515	26671	4341
516	26726	4290
517	26782	4239
518	26841	4189
519	26908	4139
520	26960	4088
521	27006	4035
522	27064	3984
523	27115	3932
524	27170	3881
525	27219	3829
526	27296	3781
527	27351	3729
528	27399	3677
529	27453	3625
530	27495	3572
531	27538	3520
532	27588	3467
533	27634	3415
534	27682	3363
535	27736	3311
536	27781	3259
537	27827	3206
538	27866	3153
539	27914	3101
540	27957	3048
541	27996	2995
542	28044	2943
543	28094	2892
544	28143	2840
545	28204	2789
546	28271	2739
547	28313	2686
548	28361	2634
549	28414	2583
550	28456	2530
551	28502	2478
552	28548	2426
553	28593	2374
554	28635	2321
555	28681	2269
556	28734	2218
557	28781	2166
558	28827	2114
559	28877	2062
560	28926	2010
561	28967	1958
562	29016	1906
563	29065	1855
564	29113	1803
565	29152	1751
566	29193	1699
567	29245	1647
